Dinamarca,10,73200000,Europeu,0.937
Finlândia,13,54360000,Europeu,0.925
Nova Zelândia,13,48460000,Oceania,0.917
Noruega,16,95510000,Europeu,0.954
Singapura,17,67200000,Asiático,0.932
Suécia,17,62990000,Europeu,0.945
Suíça,18,89450000,Europeu,0.943
Países Baixos,20,57430000,Europeu,0.931
Alemanha,21,53390000,Europeu,0.936
Irlanda,23,81070000,Europeu,0.938
Luxemburgo,23,91200000,Europeu,0.904
Hong Kong,24,54370000,Asiático,0.939
Austrália,25,60430000,Oceania,0.938
Canadá,26,52960000,Américas,0.929
Estônia,26,27640000,Europeu,0.875
Islândia,26,68220000,Europeu,0.938
Uruguai,26,18030000,Américas,0.804
Bélgica,27,48700000,Europeu,0.931
Japão,27,42440000,Asiático,0.919
Reino Unido,27,48890000,Europeu,0.932
França,28,45860000,Europeu,0.901
Estados Unidos,31,76370000,Américas,0.926
Emirados Árabes Unidos,33,48950000,Asiático,0.863
Israel,37,54650000,Asiático,0.919
Coreia do Sul,37,35990000,Asiático,0.903
Portugal,38,25800000,Europeu,0.850
Espanha,40,31680000,Europeu,0.904
Catar,42,70500000,Asiático,0.856
Itália,44,37700000,Europeu,0.892
Polônia,45,18350000,Europeu,0.865
Grécia,48,21740000,Europeu,0.872
Arábia Saudita,49,27590000,Asiático,0.853
Malásia,53,11780000,Asiático,0.802
Romênia,54,15660000,Europeu,0.828
China,55,12850000,Asiático,0.758
África do Sul,57,6780000,Africano,0.710
Vietnã,58,4010000,Asiático,0.694
Índia,60,2380000,Asiático,0.645
Argentina,62,11620000,Américas,0.830
Brasil,62,8140000,Américas,0.758
Equador,64,6310000,Américas,0.759
Sri Lanka,64,3610000,Asiático,0.782
Tailândia,64,7230000,Asiático,0.755
Bósnia e Herzegovina,66,7660000,Europeu,0.725
Gâmbia,66,810000,Africano,0.460
Indonésia,66,4580000,Asiático,0.718
Malawi,66,6400000,Africano,0.477
Nepal,66,1340000,Asiático,0.579
Serra Leoa,66,5100000,Africano,0.438
Argélia,67,3900000,Africano,0.748
Angola,67,1900000,Africano,0.574
El Salvador,67,4720000,Américas,0.674
Mongólia,67,4210000,Asiático,0.737
Filipinas,67,3950000,Asiático,0.718
Ucrânia,67,4270000,Europeu,0.750
Zâmbia,67,1170000,Africano,0.584
República Dominicana,68,9050000,Américas,0.722
Quênia,68,2170000,Africano,0.604
Níger,68,6100000,Africano,0.394
Bolívia,69,3450000,Américas,0.678
Laos,69,2360,Asiático,0.601
México,69,10410000,Américas,0.767
Uzbequistão,69,2190000,Asiático,0.711
Djibouti,70,3180000,Asiático,0.473
Egito,70,4100000,Africano,0.696
Eswatini,70,3800000,Africano,0.602
Mauritânia,70,2160000,Africano,0.527
Papua Nova Guiné,70,2730000,Oceania,0.544
Togo,70,99000000,Africano,0.503
Gabão,71,7540000,Africano,0.702
Mali,72,85000000,Africano,0.427
Paraguai,72,5920000,Américas,0.678
Quirguistão,73,1410000,Asiático,0.672
Paquistão,73,1580000,Asiático,0
